ID,NAF,Autoproduction d'origine thermique,Autoproduction d'origine non thermique,Autoproduction vendue,Autoproduction consommée (1),Achats (2),Consommation (1 + 2),Usage force motrice,Usages thermiques (y compris production de froid),Usage électrolyse,Usage chauffage des locaux et autres,"Usages thermodynamiques hors chauffage des locaux (Prod. froid, PAC, CMV)"
_T,Total,s,s,1840,3036,107669,110705,71714,11085,10553,7037,9795
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",2,0,0,2,0,3,2,s,0,0,s
B07T09,"Industries extractives (à l’exception de l’extraction de houille, de lignite et d’hydrocarbures)",1,1,0,1,s,s,659,3,s,24,18
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",1360,5,s,s,s,16837,11407,955,27,930,3456
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",2,0,0,2,1572,1573,1042,165,5,104,234
C10T12,"Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",0,0,0,0,38,38,23,0,0,8,7
13,Fabrication de textiles,1,2,0,3,s,s,853,79,s,72,75
14,Industrie de l'habillement,s,s,s,s,s,140,88,5,1,31,12
15,Industrie du cuir et de la chaussure,0,0,0,0,111,111,82,s,2,12,s
16,"Travail du bois et fabrication d’articles en bois et en liège, à l’exception des meubles ; fabrication d’articles en vannerie et sparterie",70,0,68,2,1736,1739,1565,66,3,65,31
17,Industrie du papier et du carton,s,s,s,s,s,8742,8234,154,7,212,135
18,Imprimerie et reproduction d'enregistrements,1,0,0,1,s,s,886,37,s,104,59
20,Industrie chimique,s,s,s,s,s,19096,13297,445,3844,422,1060
21,Industrie pharmaceutique,s,s,s,s,s,2581,1522,161,9,301,575
22,Fabrication de produits en caoutchouc et en plastique,64,3,25,41,7038,7079,4517,1038,56,590,812
23,Fabrication d'autres produits minéraux non métalliques,7,12,10,9,8121,8130,5776,1344,88,471,409
24,Métallurgie,s,s,79,830,19710,20541,8653,4216,5686,884,1099
25,"Fabrication de produits métalliques, à l'exception des machines et des équipements",4,1,1,3,5397,5400,3360,488,581,512,344
26,"Fabrication de produits informatiques, électroniques et optiques",s,s,s,s,s,2185,906,411,31,523,314
27,Fabrication d'équipements électriques,s,s,s,s,s,2123,1104,491,21,260,238
28,Fabrication de machines et équipements n.c.a.,s,s,s,s,s,2511,1674,330,25,324,152
29,Industrie automobile,23,0,18,4,4485,4490,3474,311,100,329,274
30,Fabrication d'autres matériels de transport,s,s,0,6,2074,2081,1027,255,19,498,275
31,Fabrication de meubles,0,1,1,0,450,450,357,26,9,48,3
32,Autres industries manufacturières,0,0,0,0,771,771,470,43,5,85,138
33,Réparation et installation de machines et d'équipements,0,0,0,0,569,569,267,39,13,187,31
38,"Collecte, traitement et élimination des déchets ; récupération",21,1,21,1,566,567,470,17,0,40,33
