REGION;BR_THER;BR_NTHE;BR_PROD;BR_VEND;BR_AUCO;BR_QAUP;BR_CSUP;BR_USQ1;BR_USQ2;BR_USQ4;BR_USQ6;BR_USQ7
global;4888,8;419,9;5308,7;1868,8;3471,4;98535,2;102006,6;58060,5;9734,9;10527,9;9332,6;14351,2
11;84,1;0,2;84,4;54,4;29,9;5796,3;5826,2;3041,9;874,4;45,3;900;965,1
24;s;s;s;s;s;s;s;2125,6;337,2;s;s;476,7
27;25,1;0,7;25,7;0,6;25,1;5486,1;5511,2;2760,5;609,3;s;s;764
28;352;22,4;374,4;158;216,4;7173,4;7389,8;5494,2;496,5;61,6;525,6;811,6
32;s;s;s;s;s;s;s;9542,6;2391,9;s;1382,6;2025,6
44;1071,1;45,5;1116,6;434,3;682,3;14073,2;14755,5;10523,3;1147,7;102,3;1039,5;1943
52;52,8;5;57,7;22;35,8;5253,7;5289,4;2876,7;426,7;43;812,8;1131,4
53;s;s;s;s;s;s;s;2268,6;s;s;s;1120,9
75;418,6;6,4;425;222,7;202,3;6768,1;6970,4;4382,6;869,8;61,6;644,2;1012,8
76;s;s;s;s;s;s;s;2251,2;380,2;s;s;595,3
84;321,7;83,7;405,4;213,7;223,2;16142,2;16365,4;7245,3;1698,8;3780,2;1519,8;2120,9
93;662,3;14,1;676,4;113,4;563;7495,9;8058,9;5217,5;s;s;s;1162,8
97;7,9;4,3;12,1;4,3;7,9;589,3;597,1;330,2;20,9;0;25,6;220,9
