ANNEE;CONSBRT;CONSNET;FACTURE;BR_PCT;CMS_PCT;DR_PCT;PP_PCT;CR_PCT;ENM_PCT;TOT_PCT;BR_PRIX;CR_PRIX;DR_PRIX;FR_PRIX;GR_PRIX;HR_PRIX;IR_PRIX;JR_PRIX;KR_PRIX;LR_PRIX;OR_PRIX
1996;33;nd;7603;37;6;38;18;2;nd;100;46;10;11;52;nd;119;81;194;116;0,2;nd
1997;33;nd;7894;38;5;38;17;2;nd;100;45;11;12;57;nd;113;84;209;115;0,3;nd
1998;35;nd;7770;38;5;39;17;2;nd;100;43;10;11;54;nd;112;76;175;96;0,2;nd
1999;35;nd;7569;38;4;39;16;3;nd;100;42;10;11;46;nd;98;76;212;116;0,2;nd
2000;34;nd;8477;39;6;38;14;4;nd;100;40;13;15;52;nd;109;136;329;182;0,3;nd
2001;34;nd;8762;39;4;38;14;5;nd;100;39;13;17;64;nd;134;113;301;164;0,3;nd
2002;33;nd;8327;38;7;36;13;6;nd;100;39;13;16;67;nd;129;113;278;174;0,3;nd
2003;33;nd;8462;39;5;38;12;6;nd;100;39;13;17;59;nd;127;113;286;186;0,3;nd
2004;33;nd;9031;39;4;37;13;6;nd;100;42;13;16;65;nd;238;98;315;173;0,3;nd
2005r;33;nd;10356;40;5;37;12;7;nd;100;45;18;20;90;97;227;88;397;228;0,4;nd
2005;44;42;12769;34;5;34;10;6;12;100;45;18;21;90;89;227;88;403;238;0,4;nd
2006;43;41;14309;34;5;34;10;5;12;100;51;22;26;91;81;190;99;446;284;0,5;nd
2007;43;41;14446;34;5;34;9;5;12;100;51;22;27;88;79;204;109;475;295;0,5;nd
2008;43;41;16260;34;5;33;8;6;15;100;53;28;32;96;118;242;149;562;386;0,6;nd
2009;37;35;13284;34;5;33;8;6;14;100;56;23;28;95;98;206;131;404;303;0,5;nd
2010;38;36;14538;34;5;34;8;6;13;100;57;23;27;143;111;284;150;515;380;0,7;nd
2011;36;35;15594;34;7;34;8;5;13;100;61;27;29;180;154;359;189;672;484;0,7;nd
2012;36;34;16110;33;7;35;7;6;13;100;63;29;31;171;118;322;165;730;566;0,8;37
2013;36;34;15894;33;6;36;6;6;12;100;65;29;32;130;122;268;143;655;508;0,8;40
2014;35;34;15175;34;6;35;6;6;13;100;66;27;30;115;110;228;130;591;480;0,7;43
2015;36;35;14304;34;8;34;5;6;13;100;66;24;29;111;105;233;143;391;343;0,6;48
2016;37;36;13116;34;7;34;5;6;14;100;60;22;25;111;108;199;115;362;297;0,5;42
2017;36;35;13279;35;6;34;5;7;14;100;58;22;24;164;so;so;132;426;423;0,6;41
2018;36;35;14535;35;6;34;4;7;14;100;60;25;26;158;so;so;192;509;455;0,7;42
2019;35;34;13774;35;6;35;4;7;14;100;63;22;25;154;so;so;168;414;482;0,8;42
2020;32;31;11728;33;3;37;5;7;15;100;64;20;21;140;so;so;136;339;457;0,6;45
